id	page	change	old	new
U06	42	flag resolved: all seven sexagesimal strings read as printed (order signs: see M1)	\U{U06}{\SX{…}} ×7	\SX{…} ×7
H1	-	header	% TEXT-LEVEL CANDIDATE — NOT A PIXEL-VERIFIED RELEASE.⏎	% TEXT-LEVEL CANDIDATE — NOT A PIXEL-VERIFIED RELEASE.⏎% Checked against the scan (SRC01_PHYSICAL_0090-0198.pdf, PDF 130-133) on 2026-09-26:⏎% U01-U09 resolved and further readings corrected; see S02_P041_043_CHECK.md.⏎
M1	-	macro: order signs are printed as small capitals	#5^{\mathrm{iv}}\,#6^{\mathrm{v}}\,#7^{\mathrm{vi}}%	#5^{\mathrm{IV}}\,#6^{\mathrm{V}}\,#7^{\mathrm{VI}}%
M2	-	macro comment	% The component readings and their printed order signs remain under U06.	% Component readings and order signs (small capitals IV, V, VI) checked against the scan.
U01	41	flag resolved: 285 (damaged 5, OCR reads 287)	\U{U01}{287}	285
U02	41	flag resolved: 1/20 as read	\U{U02}{$1/20$}	$1/20$
C01	41	dash omitted	dies superantis, ad 285 annos	dies superantis, --- ad 285 annos
U03	41	flag resolved: [ἄρχων] as read	regis [\U{U03}{ἄρχων}]	regis [ἄρχων]
C02	41	italic apparatus letter	supponeret (b).	supponeret ({\itshape b}).
C03	41 n.1	italic Almag.	\NN{1}{Almag. III, 2	\NN{1}{{\itshape Almag.} III, 2
C04	41 n.2	macron	\NN{2}{Al-Battāni coniectura	\NN{2}{Al-Battānī coniectura
U04	41 n.4	flag resolved: formula transcribed	\NN{4}{\texttt{[U04: AB01-PDF0130-N04-M01]}}	\NN{4}{$\dfrac{1+1/5}{360}=\dfrac{6/5}{360}=\dfrac{6}{1800}=\dfrac{1}{300}$.}
C05	41 n.6	italic Almag.	ante Chr. n.); Almag. III, 2	ante Chr. n.); {\itshape Almag.} III, 2
C06	41 n.8	italic Almag.	\NN{8}{Almag. l. l.}	\NN{8}{{\itshape Almag.} l. l.}
C07	42	macron	Pachon, quatuor	Pachōn, quatuor
C08	42	italic apparatus letter	$1/2+1/4$ (c).	$1/2+1/4$ ({\itshape c}).
U05	42	flag resolved: 2/5 as read (twice)	\U{U05}{$2/5$}	$2/5$
C09	42	unit is dies, not degrees	$365^\circ14'26''$	$365^{d}\,14'\,26''$
C10	42	OCR error: efficiant	qui mensem Aegyptium efficiant,	qui mensem Aegyptium efficiunt,
C11	42	italic apparatus letter	circiter⏎(d). Hos	circiter⏎({\itshape d}). Hos
C12	42	italics	qui⏎medium Solis appellatur	qui⏎{\itshape medium Solis} appellatur
C13	42 n.2	macron	nam al-Battāni⏎prima	nam al-Battānī⏎prima
