change_id	line_id	master_pdf_page	before	after	old_substring	new_substring	category	reason	confidence	evidence	source_authority	source_sha256	canonical_Arabic_changed	status
S01-R3-001	AB01-PDF0017-body-L016	17	« in opere astronomico suo ad annum 299 (11) posuit. Venit Baġdād cum [gente vocata] Banū	« in opere astronomico suo ad annum 299 (11) posuit. Venit Baghdād cum [gente vocata] Banū	Baġdād	Baghdād	digital_transcription	The witness prints the digraph gh, not a dotted g; restore the witnessed place-name spelling.	high	history/interrupted_reread/qa/general_contact_009-016.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-002	AB01-PDF0017-body-L005	17	« <i>in scientia geometriae ac astronomiae, in cognitione stellarum, in arte astrologica. Est</i>	« <i>in scientia geometriae ac astronomiae, in cognitione stellarum, in arte astrologica Est</i>	astrologica. Est	astrologica Est	digital_transcription	The source has no full stop after astrologica; remove punctuation supplied by the digital first pass.	high	history/interrupted_reread/qa/general_contact_009-016.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-003	AB01-PDF0018-body-L015	18	« magnam eius excellentiam vastamque doctrinam indicant. Obiit anno 317, a Baġdād rediens,	« magnam eius excellentiam vastamque doctrinam indicant. Obiit anno 317, a Baghdād rediens,	Baġdād	Baghdād	digital_transcription	The source prints Baghdād with gh. The v002 dotted-g form was an unsupported normalization.	high	history/interrupted_reread/qa/general_contact_033-040.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-004	AB01-PDF0019-body-L003	19	« pago (<ar>ناحية</ar>) agri (<ar>من أعمال</ar>) Ḥarrānensis (2) ..... In alia historia legi eum Baġdād intrasse, po-	« pago (<ar>ناحية</ar>) agri (<ar>من أعمال</ar>) Ḥarrānensis (2) ..... In alia historia legi eum Baghdād intrasse, po-	Baġdād	Baghdād	digital_transcription	Witness prints gh; reverse the unsupported dotted-g normalization.	high	qa/page_0019.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-005	AB01-PDF0019-notes_right-L016	19	in urbe Marāġah, prope lacum Ūrmiyah, die 6 ǵu-	in urbe Marāghah, prope lacum Ūrmiyah, die 6 ǵu-	Marāġah	Marāghah	digital_transcription	Restore the source digraph gh in the printed toponym.	high	history/interrupted_reread/qa/general_contact_049-056.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-006	AB01-PDF0026-notes_left-L021	26	« siding at Aracte in Mesopotamia, about the close	« siding at Aracle in Mesopotamia, about the close	Aracte	Aracle	digital_transcription	The disputed ascender has no t crossbar; native pixels print Aracle. The adjacent at supplies a same-line t comparator.	high	history/interrupted_reread/qa/G106_context_native.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-007	AB01-PDF0027-notes_left-L016	27	apud <n>Muḥammad Rāġhib bāshā</n>, <i>Safīnat</i>	apud <n>Muḥammad Rāghib bāshā</n>, <i>Safīnat</i>	Rāġhib	Rāghib	digital_transcription	The source name prints gh; do not normalize it to dotted g.	high	history/interrupted_reread/qa/general_contact_113-120.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-008	AB01-PDF0049-body-L001	49	« pended upon the Longitude of <i>Aracta</i>, would very much have confirmed me in the Opinion,	« pended upon the Longitude of <i>Aracla</i>, would very much have confirmed me in the Opinion,	Aracta	Aracla	digital_transcription	Native italic letter is l, without the crossbar of t; preserve the historical quotation spelling Aracla, not a modern place-name.	high	history/interrupted_reread/qa/native_word_G320_aracla.png; general_contact_313-320.png G320	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-009	AB01-PDF0026-body-L020	26	De Banū az-Zayyāt (2) illis cum quibus al-Battānī se Baġdād contulit, nihil auctores	De Banū az-Zayyāt (2) illis cum quibus al-Battānī se Baghdād contulit, nihil auctores	Baġdād	Baghdād	digital_transcription	Visible Roman type prints gh, not a dotted g. Undo an unwitnessed transliteration normalization.	high	qa/page_0026.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-010	AB01-PDF0027-notes_left-L017	27	<i>ar-rāġhib</i>, Būlāq 1282, p. 670–75 (p. 671 annus per-	<i>ar-rāghib</i>, Būlāq 1282, p. 670–75 (p. 671 annus per-	ar-rāġhib	ar-rāghib	digital_transcription	The italic bibliographic title prints gh; preserve that spelling separately from names elsewhere.	high	qa/page_0027.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-011	AB01-PDF0018-notes_left-L007	18	coniicerent respuenda sunt, ut in § 2, nr. II, os-	coniecerunt respuenda sunt, ut in § 2, nr. II, os-	coniicerent	coniecerunt	digital_transcription	Native source prints coniecerunt, including e after i and u before nt; undo the digital change of both spelling and inflection.	high	history/interrupted_reread/qa/proof_005_native.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-012	AB01-PDF0021-notes_right-L013	21	(9) In textu ambabus vocabulis littera <i>B</i> in-	(9) In textu ambabus vocalibus littera <i>B</i> in-	vocabulis	vocalibus	digital_transcription	The native print reads vocalibus. Preserve the witnessed order of letters, without replacing it by a linguistically preferred word.	high	history/interrupted_reread/qa/proof_014_native.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-013	AB01-PDF0022-notes_right-L009	22	(7) <i>Geographi Graeci minores ed. Müller</i>, Pa-	(7) <i>Geographi Graeci minores ed. Miller</i>, Pa-	Müller	Miller	digital_transcription	The printed bibliographic name has a single dotted i. Preserve Miller; do not silently repair it from bibliographic knowledge.	high	history/interrupted_reread/qa/proof_017_native.png	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-014	AB01-PDF0028-body-L020	28	operis astronomici (t. I, p. 131–34) et appendice spuria F (p. 149), calculum scilicet <i>directio-</i>	operis astronomici (t. I, p. 131–34) et adpendice spuria F (p. 149), calculum scilicet <i>directio-</i>	appendice	adpendice	digital_transcription	Preserve the printed consonant cluster dp; remove an unwitnessed spelling normalization.	high	history/interrupted_reread/qa/triage_contact_025-032.png T027	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-015	AB01-PDF0032-notes_right-L008	32	des Chartes, 31<sup>e</sup> année, 1870, p. 157. Errorem iam	des Chartes, 31<sup>me</sup> année, 1870, p. 157. Errorem iam	31<sup>e</sup>	31<sup>me</sup>	digital_transcription	The source ordinal has superscript me, not e alone.	high	history/interrupted_reread/qa/triage_contact_025-032.png T030	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
S01-R3-016	AB01-PDF0033-notes_right-L012	33	§ 114: « Das lateinische ms. Wien 2528..... ist noch	§ 114: « Das lateinische ms. Wien 5258..... ist noch	2528	5258	digital_transcription	The quoted manuscript number reads 5258; no inference from another catalogue is used.	high	history/interrupted_reread/qa/triage_contact_025-032.png T031	SRC01 native page pixels; no outside text substituted	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	False	ACCEPTED_IN_V003_PRODUCTION_NOT_INDEPENDENTLY_AUDITED
