object_id	master_pdf_page	line_id	latex	role	disposition	arithmetic_recomputed	silent_correction	v003_reread	source_reread_evidence
AB01-PDF0025-notes_right-L013-M01	25	AB01-PDF0025-notes_right-L013	\tfrac{1}{2}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/math_other_01-04.png
AB01-PDF0036-notes_left-L001-M01	36	AB01-PDF0036-notes_left-L001	\frac{1}{130}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/math_other_01-04.png
AB01-PDF0042-body-L021-M01	42	AB01-PDF0042-body-L021	\frac{6}{19}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0042.png
AB01-PDF0043-body-L015-M01	43	AB01-PDF0043-body-L015	\tfrac{1}{3}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/math_other_01-04.png
AB01-PDF0056-body-L002-M01	56	AB01-PDF0056-body-L002	R	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-body-L009-M01	56	AB01-PDF0056-body-L009	R=12^{p}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-body-L014-M01	56	AB01-PDF0056-body-L014	\sin(180^{\circ}-a)=\sin a,	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-body-L016-M01	56	AB01-PDF0056-body-L016	\cos a=\sqrt{R^2-\sin^2 a}.	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-body-L020-M01	56	AB01-PDF0056-body-L020	c=a\frac{\sin(180^{\circ}-C)}{\sin A}=a\frac{\sin C}{\sin A}\qquad\text{i. e.}\qquad c:a=\sin C:\sin A;	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-body-L022-M01	56	AB01-PDF0056-body-L022	b=a\frac{\sin B}{\sin A}\qquad\text{i. e.}\qquad b:a=\sin B:\sin A.	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-body-L025-M01	56	AB01-PDF0056-body-L025	a=\frac{b\cos C}{R}+\sqrt{c^2-\frac{b^2\sin^2 C}{R^2}}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-body-L029-M01	56	AB01-PDF0056-body-L029	\cos b=\frac{\cos a\cos c}{R}\ (3)\qquad\qquad\sin b=R\frac{\sin c}{\sin C}\ (4)	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-body-L030-M01	56	AB01-PDF0056-body-L030	\sin a=R\frac{\sin c}{\cos c}\times\frac{\cos C}{\sin C}\ (5)\qquad\qquad\cos A=R\frac{\sin c}{\cos c}\times\frac{\cos b}{\sin b}\ (6).	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-notes_left-L002-M01	56	AB01-PDF0056-notes_left-L002	\sin\operatorname{vers}a=R-\cos a.	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-notes_left-L005-M01	56	AB01-PDF0056-notes_left-L005	b	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-notes_left-L005-M02	56	AB01-PDF0056-notes_left-L005	B	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0056-notes_right-L002-M01	56	AB01-PDF0056-notes_right-L002	\sin a=\frac{\sin b\sin A}{R}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0056.png
AB01-PDF0057-body-L010-M01	57	AB01-PDF0057-body-L010	t	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0057-body-L011-M01	57	AB01-PDF0057-body-L011	\operatorname{sin\,vers}t=\operatorname{sin\,vers}P-\frac{\sin h\operatorname{sin\,vers}P}{\operatorname{sin\,altit.\,merid.}},	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0057-body-L012-M01	57	AB01-PDF0057-body-L012	P	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0057-body-L012-M02	57	AB01-PDF0057-body-L012	R=60^{p}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0057-body-L013-M01	57	AB01-PDF0057-body-L013	\cos t=\frac{R^2\sin h-R\sin\varphi\sin\delta}{\cos\varphi\cos\delta}.	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0057-body-L016-M01	57	AB01-PDF0057-body-L016	\operatorname{sin\,diff.\,horiz.}=\frac{\sin h\sin\varphi}{\cos\varphi},\qquad\operatorname{cos\,azimuth}=R\frac{\operatorname{sin\,ampl.\,ort.}-\operatorname{sin\,diff.\,horiz.}}{\cos h},	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0057-body-L018-M01	57	AB01-PDF0057-body-L018	\operatorname{cos\,azimuth}=\frac{R^2\sin\delta-R\sin h\sin\varphi}{\cos h\cos\varphi}.	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0057-body-L024-M01	57	AB01-PDF0057-body-L024	\operatorname{sin\,vers}t=(R\mathbin{\pm}\operatorname{sin\,differ.\,ascens.})-R\frac{\sin h}{\cos\varphi}\times\frac{R}{\operatorname{sin\,vers}P},	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0057-body-L025-M01	57	AB01-PDF0057-body-L025	R+\operatorname{sin\,differ.\,ascensionalis}=\operatorname{sin\,vers}P.	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0057-notes_left-L004-M01	57	AB01-PDF0057-notes_left-L004	\sin h	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0057-notes_right-L001-M01	57	AB01-PDF0057-notes_right-L001	\sin h=\bigl\{(R\mathbin{\pm}\operatorname{sin\,diff.\,asc.})-\operatorname{sin\,vers}t\bigr\}\times	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0057-notes_right-L002-M01	57	AB01-PDF0057-notes_right-L002	\times\frac{\operatorname{sin\,vers}P}{R}\times\frac{\cos\varphi}{R}.	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0057.png
AB01-PDF0070-body-L011-M01	70	AB01-PDF0070-body-L011	26\frac{1}{3}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/math_other_05-08.png
AB01-PDF0082-body-L010-M01	82	AB01-PDF0082-body-L010	\frac{\cos L}{\cos\delta}	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0082.png
AB01-PDF0082-body-L011-M01	82	AB01-PDF0082-body-L011	\sin\omega	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0082.png
AB01-PDF0082-body-L011-M02	82	AB01-PDF0082-body-L011	\sin\varepsilon	NALLINO_APPARATUS	editable source notation retained	False	False	Source appearance compared with stored notation by the producing assistant; no mathematical emendation.	history/interrupted_reread/qa/source_page_0082.png
