master_pdf_page	anchor	owned	kind	role	disposition	source_sha256	physical_page_available	visual_review	transcription_file	primary_image_xref	primary_image_pixels	source_page_rect_pt	provider_marks_in_reader	open_notes
1	AB01-PDF0001	False	provider_service_card	SCAN_EXTRINSIC	Excluded from reader; untouched evidence retained	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit		8	[29, 29]	[0.0, 0.0, 616.7999877929688, 888.719970703125]	False	[]
2	AB01-PDF0002	True	astronomical_frontispiece	NALLINO_APPARATUS	Raw image and conservative native-pixel panel crop retained; included as figure	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit		22	[2491, 3702]	[0.0, 0.0, 597.8399658203125, 888.47998046875]	False	"[""S01-U001""]"
3	AB01-PDF0003	False	library_plate	COPY_PROVENANCE	Excluded from reader; copy-specific evidence retained	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit		32	[5140, 7364]	[0.0, 0.0, 616.7999877929688, 883.6799926757812]	False	[]
4	AB01-PDF0004	False	blank_or_binding	COPY_PROVENANCE	No intrinsic text; excluded from reader, recorded in topology	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit		41	[5140, 7288]	[0.0, 0.0, 616.7999877929688, 874.5599975585938]	False	[]
5	AB01-PDF0005	False	blank_or_binding	COPY_PROVENANCE	No intrinsic text; excluded from reader, recorded in topology	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit		48	[5140, 7416]	[0.0, 0.0, 616.7999877929688, 889.9199829101562]	False	[]
6	AB01-PDF0006	False	blank_or_binding	COPY_PROVENANCE	No intrinsic text; excluded from reader, recorded in topology	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit		55	[5140, 7438]	[0.0, 0.0, 616.7999877929688, 892.5599975585938]	False	[]
7	AB01-PDF0007	False	blank_or_binding	COPY_PROVENANCE	No intrinsic text; excluded from reader, recorded in topology	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit		62	[5140, 7406]	[0.0, 0.0, 616.7999877929688, 888.719970703125]	False	[]
8	AB01-PDF0008	False	blank_or_binding	COPY_PROVENANCE	No intrinsic text; excluded from reader, recorded in topology	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit		69	[5140, 7410]	[0.0, 0.0, 616.7999877929688, 889.2000122070312]	False	[]
9	AB01-PDF0009	False	blank_or_binding	COPY_PROVENANCE	No intrinsic text; excluded from reader, recorded in topology	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit		76	[5140, 7402]	[0.0, 0.0, 616.7999877929688, 888.2400512695312]	False	[]
10	AB01-PDF0010	True	half_title	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0010.json	83	[5140, 7414]	[0.0, 0.0, 616.7999877929688, 889.6799926757812]	False	[]
