object_id	master_pdf_page	role	description	source_id	source_xref	source_image_pixels	crop_box_pixels	source_rect_pt	pdf_rect_pt	source_image_placement_rect_pt	raw_path	presentation_path	presentation_pixels	raw_sha256	presentation_sha256	source_dpi	operations	pixel_equivalence	insertion_status	limitation
AB01-PDF0037-G01	37	NALLINO_APPARATUS	Ambiguous terminal digit in first page number; 100/106–102 retained as pixels	SRC01	275	[5140, 7384]	[3108, 2941, 3413, 3084]	[373, 353, 409.5, 370]	[373, 353, 409.5, 370]	[0.0, 0.0, 616.7999877929688, 886.0799560546875]	source/raw/AB01-PDF0037-G01-raw.png	source/presentation/AB01-PDF0037-G01.png	[305, 143]	833fb1bf84e69ac7790ae5671e477338d41560ed40098980f28a0da551b203ad	833fb1bf84e69ac7790ae5671e477338d41560ed40098980f28a0da551b203ad	native decoded source image; no resampling	Decode authoritative PDF image; integer crop only. Raw crop and presentation PNG are byte-identical. No filtering, resampling, retouching or inpainting.	True	INSERTED_IN_V003_READER	Exact visual evidence retained; an image fallback is not a claimed character-level adjudication.
AB01-PDF0040-G01	40	NALLINO_APPARATUS	Printed Persian word, complete consonant and upper-sign cluster	SRC01	296	[5140, 7414]	[1975, 5727, 2167, 5867]	[237, 687.3, 260, 704]	[237, 687.3, 260, 704]	[0.0, 0.0, 616.7999877929688, 889.6799926757812]	source/raw/AB01-PDF0040-G01-raw.png	source/presentation/AB01-PDF0040-G01.png	[192, 140]	f981d09066b81b86c25f51160efe1888f78b40e0ff4718550406fb18a946d57b	f981d09066b81b86c25f51160efe1888f78b40e0ff4718550406fb18a946d57b	native decoded source image; no resampling	Decode authoritative PDF image; integer crop only. Raw crop and presentation PNG are byte-identical. No filtering, resampling, retouching or inpainting.	True	INSERTED_IN_V003_READER	Exact visual evidence retained; an image fallback is not a claimed character-level adjudication.
AB01-PDF0070-G02	70	NALLINO_APPARATUS	Accusative orthography example; sign placement unnormalized	SRC01	510	[5140, 7388]	[1058, 3458, 1217, 3601]	[127, 415, 146, 432]	[127, 415, 146, 432]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	source/raw/AB01-PDF0070-G02-raw.png	source/presentation/AB01-PDF0070-G02.png	[159, 143]	1e8eefb034972ac0c5a676c4c3c083a853969fd1f2cce286191beb5bd80e5e13	1e8eefb034972ac0c5a676c4c3c083a853969fd1f2cce286191beb5bd80e5e13	native decoded source image; no resampling	Decode authoritative PDF image; integer crop only. Raw crop and presentation PNG are byte-identical. No filtering, resampling, retouching or inpainting.	True	INSERTED_IN_V003_READER	Exact visual evidence retained; an image fallback is not a claimed character-level adjudication.
AB01-PDF0070-G03	70	NALLINO_APPARATUS	Vocalized verbal example; hamzah and vowels retained	SRC01	510	[5140, 7388]	[3875, 3450, 4017, 3609]	[465, 414, 482, 433]	[465, 414, 482, 433]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	source/raw/AB01-PDF0070-G03-raw.png	source/presentation/AB01-PDF0070-G03.png	[142, 159]	f647a23c5b3544d9f501a32950ea0e2588c37886ff673f51c266992355a41f35	f647a23c5b3544d9f501a32950ea0e2588c37886ff673f51c266992355a41f35	native decoded source image; no resampling	Decode authoritative PDF image; integer crop only. Raw crop and presentation PNG are byte-identical. No filtering, resampling, retouching or inpainting.	True	INSERTED_IN_V003_READER	Exact visual evidence retained; an image fallback is not a claimed character-level adjudication.
AB01-PDF0070-G04	70	NALLINO_APPARATUS	Vocalized tilqa example; final and lower signs retained	SRC01	510	[5140, 7388]	[2550, 3954, 2734, 4117]	[306, 474.5, 328, 494]	[306, 474.5, 328, 494]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	source/raw/AB01-PDF0070-G04-raw.png	source/presentation/AB01-PDF0070-G04.png	[184, 163]	96713060a2a53a4ea1aa06d80e0639c8b14b0eb71b3e45921ba05de599ae6366	96713060a2a53a4ea1aa06d80e0639c8b14b0eb71b3e45921ba05de599ae6366	native decoded source image; no resampling	Decode authoritative PDF image; integer crop only. Raw crop and presentation PNG are byte-identical. No filtering, resampling, retouching or inpainting.	True	INSERTED_IN_V003_READER	Exact visual evidence retained; an image fallback is not a claimed character-level adjudication.
AB01-PDF0070-G05	70	NALLINO_APPARATUS	Vocalized final-vowel example; lower marks retained	SRC01	510	[5140, 7388]	[3216, 4091, 3326, 4230]	[386, 491, 399, 507.5]	[386, 491, 399, 507.5]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	source/raw/AB01-PDF0070-G05-raw.png	source/presentation/AB01-PDF0070-G05.png	[110, 139]	8e427e605d3dae15cdff673aa0159eabbc75035440b2fa8fe29bdc4235359e84	8e427e605d3dae15cdff673aa0159eabbc75035440b2fa8fe29bdc4235359e84	native decoded source image; no resampling	Decode authoritative PDF image; integer crop only. Raw crop and presentation PNG are byte-identical. No filtering, resampling, retouching or inpainting.	True	INSERTED_IN_V003_READER	Exact visual evidence retained; an image fallback is not a claimed character-level adjudication.
AB01-PDF0070-G06	70	NALLINO_APPARATUS	Vocalized talaqqa example; unnormalized printed signs	SRC01	510	[5140, 7388]	[2258, 3954, 2421, 4109]	[271, 474.5, 290.5, 493]	[271, 474.5, 290.5, 493]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	source/raw/AB01-PDF0070-G06-raw.png	source/presentation/AB01-PDF0070-G06.png	[163, 155]	f9e657bcfaf4adaf8a5b571d4042a5ec9fac9d37610546ac416b475503179ef4	f9e657bcfaf4adaf8a5b571d4042a5ec9fac9d37610546ac416b475503179ef4	native decoded source image; no resampling	Decode authoritative PDF image; integer crop only. Raw crop and presentation PNG are byte-identical. No filtering, resampling, retouching or inpainting.	True	INSERTED_IN_V003_READER	Exact visual evidence retained; an image fallback is not a claimed character-level adjudication.
AB01-PDF0070-G07	70	NALLINO_APPARATUS	Vocalized sammi example; lower vowel mark retained	SRC01	510	[5140, 7388]	[2729, 4091, 2846, 4222]	[327.5, 491, 341.5, 506.6]	[327.5, 491, 341.5, 506.6]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	source/raw/AB01-PDF0070-G07-raw.png	source/presentation/AB01-PDF0070-G07.png	[117, 131]	b80280ce0bae5a7d0482f7421d0c6cb7bfc9056ddda2e597f31e6ff858ba736b	b80280ce0bae5a7d0482f7421d0c6cb7bfc9056ddda2e597f31e6ff858ba736b	native decoded source image; no resampling	Decode authoritative PDF image; integer crop only. Raw crop and presentation PNG are byte-identical. No filtering, resampling, retouching or inpainting.	True	INSERTED_IN_V003_READER	Exact visual evidence retained; an image fallback is not a claimed character-level adjudication.
AB01-PDF0079-G01	79	NALLINO_APPARATUS	Left/original Arabic lemma in the historical XV, note 3 corrigendum	SRC01	574	[5140, 7426]	[2795, 4095, 2980, 4221]	[335.5, 491.5, 357.5, 506.5]	[335.5, 491.5, 357.5, 506.5]	[0.0, 0.0, 616.7999877929688, 891.1199951171875]	source/raw/AB01-PDF0079-G01-raw.png	source/presentation/AB01-PDF0079-G01.png	[185, 126]	4dd589c5bf96b8944c3212d048ed2498d639d48bc9885f5efb5083d855a754b2	4dd589c5bf96b8944c3212d048ed2498d639d48bc9885f5efb5083d855a754b2	native decoded source image; no resampling	Decode authoritative PDF image; integer crop only. Raw crop and presentation PNG are byte-identical. No filtering, resampling, retouching or inpainting.	True	INSERTED_IN_V003_READER	Exact visual evidence retained; an image fallback is not a claimed character-level adjudication.
AB01-PDF0079-G02	79	NALLINO_APPARATUS	Right/corrected Arabic lemma in the historical XV, note 3 corrigendum	SRC01	574	[5140, 7426]	[3550, 4083, 3742, 4221]	[426, 490, 449, 506.5]	[426, 490, 449, 506.5]	[0.0, 0.0, 616.7999877929688, 891.1199951171875]	source/raw/AB01-PDF0079-G02-raw.png	source/presentation/AB01-PDF0079-G02.png	[192, 138]	101e24455f3f9ed3cb9c4362d1962e15e468809530c1a3eb0f29822a4148b57d	101e24455f3f9ed3cb9c4362d1962e15e468809530c1a3eb0f29822a4148b57d	native decoded source image; no resampling	Decode authoritative PDF image; integer crop only. Raw crop and presentation PNG are byte-identical. No filtering, resampling, retouching or inpainting.	True	INSERTED_IN_V003_READER	Exact visual evidence retained; an image fallback is not a claimed character-level adjudication.
