apparatus_id	bounded_alternatives	citation	confidence	coordinate_granularity	diplomatic_reading	faithful_translation	issue_class	line_id	prior_notice_result	propagation_impact	proposed_critical_reading	reason	required_hypotheses	source_anchor	source_rect_pt	status	witness_evidence
S01-U001	No reconstruction of the missing edges is proposed.	Nallino (1903), SRC01 physical AB01-PDF0002; pinned source SHA-256 in source_evidence.json.	unresolved; source image retained	review region	surviving astronomical panel	Not requested for this historical Nallino source-layer session.	source_loss	AB01-PDF0002	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino source layer only; Arabic authorial canon unchanged	None adopted; see bounded alternatives.	The source panel is already cut at top/bottom and lateral edges. Cropping the provider bands cannot recover lost information.	No reconstruction or modern correction assumed.	AB01-PDF0002	[0, 74.88, 597.84, 663.84]	DOCUMENTED_SOURCE_LOSS	source/raw/AB01-PDF0002-F01-original.jpx
S01-U002	المثبتة or المثبّتة; المبينة or المبيّنة	Nallino (1903), SRC01 physical AB01-PDF0018; pinned source SHA-256 in source_evidence.json.	unresolved; source image retained	whole source page; exact page anchor, not a fabricated line box	المثبتة / المبينة	Not requested for this historical Nallino source-layer session.	reading	AB01-PDF0018-notes_left-L024	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino source layer only; Arabic authorial canon unchanged	None adopted; see bounded alternatives.	Consonantal text is retained; exact small shaddah/vowel marks in note 5 remain uncertain.	No reconstruction or modern correction assumed.	AB01-PDF0018	[0.0, 0.0, 616.7999877929688, 887.280029296875]	OPEN_READING	qa/p18_detail.png
S01-U003	Possible unvocalized bases ܒܛܢ / ܒܛܢܢ; vowel/diacritic encoding not resolved	Nallino (1903), SRC01 physical AB01-PDF0022; pinned source SHA-256 in source_evidence.json.	unresolved; source image retained	review region	exact source Syriac glyph image	Not requested for this historical Nallino source-layer session.	reading	AB01-PDF0022-body-L026	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino source layer only; Arabic authorial canon unchanged	None adopted; see bounded alternatives.	The entire visible Syriac sign sequence is preserved instead of conjecturally supplying Unicode.	No reconstruction or modern correction assumed.	AB01-PDF0022	[175, 492, 204, 510]	OPEN_READING	source/presentation/AB01-PDF0022-G01.png
S01-U004	زِگ / زیگ	Nallino (1903), SRC01 physical AB01-PDF0040; pinned source SHA-256 in source_evidence.json.	unresolved; source image retained	review region	زِگ	Not requested for this historical Nallino source-layer session.	reading	AB01-PDF0040-notes_left-L020	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino source layer only; Arabic authorial canon unchanged	None adopted; see bounded alternatives.	Persian letter/vowel differentiation remains provisional in the first-pass text; no etymological normalization.	No reconstruction or modern correction assumed.	AB01-PDF0040	[73, 630, 303, 700]	OPEN_READING	qa/proof_40_terms.png
S01-U005	βιβλιον / βιβλίον	Nallino (1903), SRC01 physical AB01-PDF0040; pinned source SHA-256 in source_evidence.json.	unresolved; source image retained	whole source page; exact page anchor, not a fabricated line box	βιβλιον	Not requested for this historical Nallino source-layer session.	reading	AB01-PDF0040-notes_right-L008	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino source layer only; Arabic authorial canon unchanged	None adopted; see bounded alternatives.	The small Greek accent is not securely distinguished from the scan in the note quotation.	No reconstruction or modern correction assumed.	AB01-PDF0040	[0.0, 0.0, 616.7999877929688, 889.6799926757812]	OPEN_READING	qa/40_greek.png
S01-U006	i. e. / t. e. (first printed letter damaged)	Nallino (1903), SRC01 physical AB01-PDF0056; pinned source SHA-256 in source_evidence.json.	unresolved; source image retained	whole source page; exact page anchor, not a fabricated line box	i. e.	Not requested for this historical Nallino source-layer session.	formula	AB01-PDF0056-body-L020	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino source layer only; Arabic authorial canon unchanged	None adopted; see bounded alternatives.	The connective between two equivalent forms has a damaged first letter. This does not change the copied formulae.	No reconstruction or modern correction assumed.	AB01-PDF0056	[0.0, 0.0, 616.7999877929688, 886.3200073242188]	OPEN_READING	qa/page_0056.png
S01-U007	ٱ (alif with waslah) is plausible; separate alif plus unidentified upper sign remains possible	Nallino (1903), SRC01 physical AB01-PDF0070; pinned source SHA-256 in source_evidence.json.	unresolved; source image retained	review region	exact source orthographic sign image	Not requested for this historical Nallino source-layer session.	reading	AB01-PDF0070-body-L019	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino source layer only; Arabic authorial canon unchanged	None adopted; see bounded alternatives.	An unsupported special-mark Unicode encoding has been withdrawn.	No reconstruction or modern correction assumed.	AB01-PDF0070	[281, 383, 291, 402]	OPEN_READING	source/presentation/AB01-PDF0070-G01.png
S01-U008	Recorded consonants retained; precise vowel/sign attachment at these examples remains provisional	Nallino (1903), SRC01 physical AB01-PDF0070; pinned source SHA-256 in source_evidence.json.	unresolved; source image retained	review region	جزوأً; تَهَيَّأَ; تِلْقَاء; تَلِهِ	Not requested for this historical Nallino source-layer session.	reading	AB01-PDF0070-body-L021	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino source layer only; Arabic authorial canon unchanged	None adopted; see bounded alternatives.	Small historical Arabic vocalization marks require further glyph-level comparison; no wholesale modernization of the spelling examples.	No reconstruction or modern correction assumed.	AB01-PDF0070	[70, 380, 550, 552]	OPEN_READING	qa/70_orthography_new.png
S01-U009	Latin consonant distinction confirmed; Arabic shaddah/vowel placements provisional	Nallino (1903), SRC01 physical AB01-PDF0079; pinned source SHA-256 in source_evidence.json.	unresolved; source image retained	whole source page; exact page anchor, not a fabricated line box	Subbī / Ṣubbī; الصَّباء / الصُّبَّاء	Not requested for this historical Nallino source-layer session.	reading	AB01-PDF0079-body-L021	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino source layer only; Arabic authorial canon unchanged	None adopted; see bounded alternatives.	Both sides of Nallino’s own corrigendum are preserved. The correction is not silently applied to printed p. XV.	No reconstruction or modern correction assumed.	AB01-PDF0079	[0.0, 0.0, 616.7999877929688, 891.1199951171875]	OPEN_READING	qa/79_corrigendum.png
S01-U010	The left lemma may be terrestri·um, with a small point or ink mark between i and u; the right is terrestrium. No different word ending is conjectured	Nallino (1903), SRC01 physical AB01-PDF0080; pinned source SHA-256 in source_evidence.json.	unresolved; source image retained	review region	terrestrium / terrestrium	Not requested for this historical Nallino source-layer session.	reading	AB01-PDF0080-body-L026	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino source layer only; Arabic authorial canon unchanged	None adopted; see bounded alternatives.	The native crop shows a possible small point in the left lemma. Its status as intended punctuation or stray ink is unresolved; the source-layer encoding is not silently changed.	No reconstruction or modern correction assumed.	AB01-PDF0080	[65, 452, 380, 475]	OPEN_READING	qa/proof_80_lemma.png
