apparatus_id	issue_class	source_anchor	line_id	source_rect_pt	coordinate_granularity	diplomatic_reading	faithful_translation	proposed_critical_reading	bounded_alternatives	required_hypotheses	witness_evidence	reason	confidence	propagation_impact	prior_notice_result	citation	status	previous_v002_status	review_responsibility	object_ids
S01-U001	source_loss	AB01-PDF0002	AB01-PDF0002	[0, 74.88, 597.84, 663.84]	review region	surviving astronomical panel	Not requested for this historical Nallino source-layer session.	None adopted; see bounded alternatives.	No reconstruction of the missing edges is proposed.	No reconstruction or modern correction assumed.	source/raw/AB01-PDF0002-F01-original.jpx	The source panel is already cut at top/bottom and lateral edges. Cropping the provider bands cannot recover lost information.	unresolved; source image retained	Nallino source layer only; Arabic authorial canon unchanged	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino (1903), SRC01 physical AB01-PDF0002; pinned source SHA-256 in source_evidence.json.	DOCUMENTED_SOURCE_LOSS	DOCUMENTED_SOURCE_LOSS	Current producing assistant; not an independent cold auditor	
S01-U003	reading	AB01-PDF0022	AB01-PDF0022-body-L026	[175, 492, 204, 510]	native crop rectangles individually recorded in figure_provenance.json	Exact source image object(s): AB01-PDF0022-G01	Not requested for this historical Nallino source-layer session.	No conjectural historical emendation adopted.	Possible unvocalized bases ܒܛܢ / ܒܛܢܢ; vowel/diacritic encoding not resolved	No reconstruction or modern correction assumed.	source/raw/AB01-PDF0022-G01-raw.png	The Syriac place-name is preserved in its existing exact image. Its Unicode transcription is not promoted.	source-image preservation exact; character interpretation not settled	Nallino source layer only; Arabic authorial canon unchanged	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino (1903), SRC01 physical AB01-PDF0022; pinned source SHA-256 in source_evidence.json.	DISPOSED_IMAGE_FALLBACK	OPEN_READING	Current producing assistant; not an independent cold auditor	"[""AB01-PDF0022-G01""]"
S01-U004	reading	AB01-PDF0040	AB01-PDF0040-notes_left-L020	[237, 687.3, 260, 704]	native crop rectangles individually recorded in figure_provenance.json	Exact source image object(s): AB01-PDF0040-G01	Not requested for this historical Nallino source-layer session.	No conjectural historical emendation adopted.	زِگ / زیگ	No reconstruction or modern correction assumed.	source/raw/AB01-PDF0040-G01-raw.png	The original Persian cluster includes more visible signs than the earlier زِگ encoding represented. Replace that provisional encoding with the entire native cluster; do not guess a normalized Persian spelling.	source-image preservation exact; character interpretation not settled	Nallino source layer only; Arabic authorial canon unchanged	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino (1903), SRC01 physical AB01-PDF0040; pinned source SHA-256 in source_evidence.json.	DISPOSED_IMAGE_FALLBACK	OPEN_READING	Current producing assistant; not an independent cold auditor	"[""AB01-PDF0040-G01""]"
S01-U007	reading	AB01-PDF0070	AB01-PDF0070-body-L019	[281, 383, 291, 402]	native crop rectangles individually recorded in figure_provenance.json	Exact source image object(s): AB01-PDF0070-G01	Not requested for this historical Nallino source-layer session.	No conjectural historical emendation adopted.	ٱ (alif with waslah) is plausible; separate alif plus unidentified upper sign remains possible	No reconstruction or modern correction assumed.	source/raw/AB01-PDF0070-G01-raw.png	Retain the existing exact sign image. Identification as alif with waslah remains an interpretation, not a substituted code point.	source-image preservation exact; character interpretation not settled	Nallino source layer only; Arabic authorial canon unchanged	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino (1903), SRC01 physical AB01-PDF0070; pinned source SHA-256 in source_evidence.json.	DISPOSED_IMAGE_FALLBACK	OPEN_READING	Current producing assistant; not an independent cold auditor	"[""AB01-PDF0070-G01""]"
S01-U008	reading	AB01-PDF0070	AB01-PDF0070-body-L021	[127, 415, 146, 432]	native crop rectangles individually recorded in figure_provenance.json	Exact source image object(s): AB01-PDF0070-G02, AB01-PDF0070-G03, AB01-PDF0070-G04, AB01-PDF0070-G05, AB01-PDF0070-G06, AB01-PDF0070-G07	Not requested for this historical Nallino source-layer session.	No conjectural historical emendation adopted.	Recorded consonants retained; precise vowel/sign attachment at these examples remains provisional	No reconstruction or modern correction assumed.	qa/v003/p70_glyph_region.png	Six unusually vocalized examples are now preserved as exact native clusters, including the two additional examples on the same lines. The placement of vowels and lower marks is no longer silently approximated by modern Unicode vowel sequences.	source-image preservation exact; character interpretation not settled	Nallino source layer only; Arabic authorial canon unchanged	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino (1903), SRC01 physical AB01-PDF0070; pinned source SHA-256 in source_evidence.json.	DISPOSED_IMAGE_FALLBACK	OPEN_READING	Current producing assistant; not an independent cold auditor	"[""AB01-PDF0070-G02"", ""AB01-PDF0070-G03"", ""AB01-PDF0070-G04"", ""AB01-PDF0070-G05"", ""AB01-PDF0070-G06"", ""AB01-PDF0070-G07""]"
S01-U009	reading	AB01-PDF0079	AB01-PDF0079-body-L021	[335.5, 491.5, 357.5, 506.5]	native crop rectangles individually recorded in figure_provenance.json	Exact source image object(s): AB01-PDF0079-G01, AB01-PDF0079-G02	Not requested for this historical Nallino source-layer session.	No conjectural historical emendation adopted.	Latin consonant distinction confirmed; Arabic shaddah/vowel placements provisional	No reconstruction or modern correction assumed.	qa/v003/p79_correction_region.png	Preserve the original and corrected Arabic lemmas independently as exact images. Subbī/Ṣubbī remains typed. This records Nallino’s historical erratum; it does not apply the correction to printed p. XV.	source-image preservation exact; character interpretation not settled	Nallino source layer only; Arabic authorial canon unchanged	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino (1903), SRC01 physical AB01-PDF0079; pinned source SHA-256 in source_evidence.json.	DISPOSED_IMAGE_FALLBACK	OPEN_READING	Current producing assistant; not an independent cold auditor	"[""AB01-PDF0079-G01"", ""AB01-PDF0079-G02""]"
S01-U010	reading	AB01-PDF0080	AB01-PDF0080-body-L026	[119, 456, 177, 470.5]	native crop rectangles individually recorded in figure_provenance.json	Exact source image object(s): AB01-PDF0080-G01	Not requested for this historical Nallino source-layer session.	No conjectural historical emendation adopted.	The left lemma may be terrestri·um, with a small point or ink mark between i and u; the right is terrestrium. No different word ending is conjectured	No reconstruction or modern correction assumed.	qa/v003/p80_lemma_region.png	The left lemma visibly contains an intervening point or ink mark. It is now preserved as an image, so the two printed lemmas are no longer represented as visually identical words. Whether that point was intended is not decided.	source-image preservation exact; character interpretation not settled	Nallino source layer only; Arabic authorial canon unchanged	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino (1903), SRC01 physical AB01-PDF0080; pinned source SHA-256 in source_evidence.json.	DISPOSED_IMAGE_FALLBACK	OPEN_READING	Current producing assistant; not an independent cold auditor	"[""AB01-PDF0080-G01""]"
S01-U011	reading	AB01-PDF0082	AB01-PDF0082-body-L005	[153, 168, 180, 183]	native crop rectangles individually recorded in figure_provenance.json	Exact source image object(s): AB01-PDF0082-G01, AB01-PDF0082-G02	Not requested for this historical Nallino source-layer session.	No conjectural historical emendation adopted.	Tentative encodings واللول / واللولوا are withdrawn; alternative consonantal separation not promoted	No reconstruction or modern correction assumed.	source/raw/AB01-PDF0082-G01-raw.png; source/raw/AB01-PDF0082-G02-raw.png	Retain both existing exact lemma images, separately and in their original order. No character-level expansion is asserted.	source-image preservation exact; character interpretation not settled	Nallino source layer only; Arabic authorial canon unchanged	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino (1903), SRC01 physical AB01-PDF0082; pinned source SHA-256 in source_evidence.json.	DISPOSED_IMAGE_FALLBACK	OPEN_READING	Current producing assistant; not an independent cold auditor	"[""AB01-PDF0082-G01"", ""AB01-PDF0082-G02""]"
S01-U012	reading	AB01-PDF0084	AB01-PDF0084-body-L028	[170, 487, 394, 507.5]	native crop rectangles individually recorded in figure_provenance.json	Exact source image object(s): AB01-PDF0084-G01, AB01-PDF0084-G02	Not requested for this historical Nallino source-layer session.	No conjectural historical emendation adopted.	Consonantal verse retained; vowel placements in تُمِرُّ / تَدُلَّ and final case-vowels remain provisional	No reconstruction or modern correction assumed.	qa/v003/p84_verse_region.png	Replace the uncertain fully vocalized transcription with two full native verse-line objects. Each preserves its original right-hand first hemistich and left-hand second hemistich. Earlier proposed text is retained only in version history and the change ledger, not certified as the reading.	source-image preservation exact; character interpretation not settled	Nallino source layer only; Arabic authorial canon unchanged	Recorded during this source-replay session; no exhaustive claim about previous scholarship.	Nallino (1903), SRC01 physical AB01-PDF0084; pinned source SHA-256 in source_evidence.json.	DISPOSED_IMAGE_FALLBACK	OPEN_READING	Current producing assistant; not an independent cold auditor	"[""AB01-PDF0084-G01"", ""AB01-PDF0084-G02""]"
S01-U013	reading	AB01-PDF0037	AB01-PDF0037-body-L017	[373, 353, 409.5, 370]	native crop; see figure_provenance.json	Exact image AB01-PDF0037-G01 (100–102 / 106–102 not adjudicated)	No new target-language translation requested.	No conjectural historical emendation adopted.	100–102 / 106–102; the terminal digit is damaged	None; no calculation or expected grammar is used to replace the source.	source/raw/AB01-PDF0037-G01-raw.png	The source terminal digit in the first page number has a broken stroke. Exact pixels replace a confidently encoded 100; neither a numerical correction nor a conjecture is applied.	exact image preservation; character-level interpretation unresolved	Nallino source layer only; Arabic authorial canon unchanged	Identified by the recovered proof material and reread for v003; no exhaustive claim about earlier scholarship.	Nallino (1903), SRC01 physical PDF37; pinned source hash in source_evidence.json.	DISPOSED_IMAGE_FALLBACK	NOT_PREVIOUSLY_FLAGGED	Current producing assistant; not an independent cold auditor	"[""AB01-PDF0037-G01""]"
