sheet	candidate_ids	image_sha256	decision	qualification
general_contact_001-008.png	G001–G008	0b72c8948165cc09a5fc695916a1e844d562722555f6d846f348ffe259358db0	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_009-016.png	G009–G016	ca2b8a9204efd2cea228558fe2f38907e2d384eba835c1f0d12de14f0a87b5ae	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_017-024.png	G017–G024	ff6513366af850f1f97537f9a89e7354015ef2f352fa37f0050763f99ba0d841	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_025-032.png	G025–G032	bce2142dad7bdb5e3e5d4c6c3dd32d806d274c6053f985eed6a3c79b537334ee	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_033-040.png	G033–G040	2a996fc504d23a2d07ddae1d7450980f38ef8fa37e1de7aaf14d799a49c8f254	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_041-048.png	G041–G048	1277c292cee10189cc9d82df3d83995b51551db91e4d492db4590d1d01a7f0d5	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_049-056.png	G049–G056	808203806bbb6f585e3caf5565e97d684fed82b72230fc7523236cec2b65ee1c	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_057-064.png	G057–G064	ce71f384456df7030d5c2ec21243b737f2b6d82b7b73a5577df12bb2e7e1e847	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_065-072.png	G065–G072	3bf64f64ea3cd7262071c6da8aa2018ed11cae8031c4f88e8f6ab16ae0757bfc	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_073-080.png	G073–G080	6c6977c799b9c60aca99478e0e2c36d116b7e9ad925749dec72ae77825f1b8a9	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_081-088.png	G081–G088	9739108dc25c1149edc50f9074eec5f60877f320c64208448389bc65e28ee83e	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_089-096.png	G089–G096	b3151a447a5c23f8c656194b7652228b87a5eee82034c1e98866a9c82072ca20	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_097-104.png	G097–G104	2e4597211ac2068644f1486ed75f892a30091199de8e33e00aeb62af420c194b	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_105-112.png	G105–G112	b2de1ca205febddee6251c4d55b393772b429b9d2cc34715165b4cb1a6037b9a	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_113-120.png	G113–G120	3b6ce587f4f4a9b6521925727a96cff34361a62085daaa1524bded22be045344	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_121-128.png	G121–G128	a4480c073e7443dd7918393672014479da6eaf0f4a8c91575c4f5170b1b2ab5d	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_129-136.png	G129–G136	6082be8a96606454c265ba4a3686dbc7b8304f2858a8f25a6bb1fea374593266	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
general_contact_137-144.png	G137–G144	f55645815a1e0f563315ff3b820aa9d2fd9837cbc1b3eb5d35711296bcfec10a	Source snippets inspected; v002 retained except explicitly registered successor changes.	Visual reread by current producing assistant; not an independent audit.
