latin_anchor	latin_printed_page	printed_arabic_page_reference	target_logical_id	basis	physical_target_map	arabic_canonical_checkpoint	arabic_source_collation
AB01-PDF0090	1	1	AB01-PARSIII-PRINT0001	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0091	2	2	AB01-PARSIII-PRINT0002	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0091	2	3	AB01-PARSIII-PRINT0003	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0092	3	4	AB01-PARSIII-PRINT0004	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0092	3	5	AB01-PARSIII-PRINT0005	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0093	4	6	AB01-PARSIII-PRINT0006	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0094	5	7	AB01-PARSIII-PRINT0007	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0095	6	8	AB01-PARSIII-PRINT0008	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0095	6	9	AB01-PARSIII-PRINT0009	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0096	7	10	AB01-PARSIII-PRINT0010	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0097	8	11	AB01-PARSIII-PRINT0011	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0097	8	12	AB01-PARSIII-PRINT0012	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0098	9	12	AB01-PARSIII-PRINT0012	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
AB01-PDF0098	9	13	AB01-PARSIII-PRINT0013	Reference explicitly printed in Nallino source margin	not asserted by this batch	NONE_ASSUMED	not performed; locator only
