id	source_line_anchor	master_pdf_page	printed_page	role	tex	status	note
AB01-PDF0098-body-L012-M01	AB01-PDF0098-body-L012	98	9	NALLINO_TRANSLATION	3\frac{1}{7}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0098-body-L013-M01	AB01-PDF0098-body-L013	98	9	NALLINO_TRANSLATION	3\frac{10}{71}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0098-body-L014-M01	AB01-PDF0098-body-L014	98	9	NALLINO_TRANSLATION	3\frac{1}{10}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0098-notes_left-L001-M01	AB01-PDF0098-notes_left-L001	98	9	NALLINO_APPARATUS	3\frac{10}{71} < \pi < 3\frac{10}{70}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0098-notes_left-L003-M01	AB01-PDF0098-notes_left-L003	98	9	NALLINO_APPARATUS	3\frac{1}{10}+\frac{1}{24}=3\frac{17}{120}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0098-notes_left-L004-M01	AB01-PDF0098-notes_left-L004	98	9	NALLINO_APPARATUS	3^{p}\,8^{m}\,30^{s}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L012-M01	AB01-PDF0099-body-L012	99	10	NALLINO_TRANSLATION	1\frac{1}{2}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L013-M01	AB01-PDF0099-body-L013	99	10	NALLINO_TRANSLATION	\frac{1}{2}+\frac{1}{4}\,[=\frac{3}{4}]	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L014-M01	AB01-PDF0099-body-L014	99	10	NALLINO_TRANSLATION	\frac{2}{3}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L014-M02	AB01-PDF0099-body-L014	99	10	NALLINO_TRANSLATION	1\frac{1}{2}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
AB01-PDF0099-body-L014-M03	AB01-PDF0099-body-L014	99	10	NALLINO_TRANSLATION	\frac{3}{4}	SOURCE_READ_FIRST_PASS	Explicit mathematical markup only; other numerical prose is indexed separately. No recalculation used to replace source values.
