anchor	master_pdf_page	printed_page	source_present	state	transcription_path	reader_page	roles	provider_matter	verification	note
AB01-PDF0090	90	1	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0090.json	2	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0091	91	2	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0091.json	3	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0092	92	3	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0092.json	4	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0093	93	4	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0093.json	5	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0094	94	5	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0094.json	6	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0095	95	6	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0095.json	7	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0096	96	7	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0096.json	8	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0097	97	8	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0097.json	9	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0098	98	9	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0098.json	10	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0099	99	10	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0099.json	11	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	The second numerical note-call in the body is printed (1), although the corresponding explanatory note is numbered (2). Both retained without silent harmonization.
AB01-PDF0100	100	11	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0100.json	12	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0101	101	12	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0101.json	13	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0102	102	13	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0102.json	14	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
AB01-PDF0103	103	14	True	SOURCE_READ_FIRST_PASS	transcription/pages/AB01-PDF0103.json	15	NALLINO_TRANSLATION;NALLINO_APPARATUS	Excluded from transcription; preserved only in source evidence	Direct source-image reading; batch build/technical checks and limited read-only recheck	
