anchor	master_pdf_page	reading	disposition
AB01-PDF0090-margins-L001	90	Textus p. 1.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0090-margins-L002	90	5; 10; 15.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0090-margins-L003	90	1 [signature]	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0091-margins-L001	91	p. 2.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0091-margins-L002	91	p. 3.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0091-margins-L003	91	5; 10; 15; 20; 25; 30; 35.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0092-margins-L001	92	p. 4.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0092-margins-L002	92	p. 5.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0092-margins-L003	92	5; 10; 15; 20; 25; 30; 35; 40.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0093-margins-L001	93	p. 6.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0093-margins-L002	93	5; 10; 15; 20; 25; 30; 35; 40.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0094-margins-L001	94	p. 7.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0094-margins-L002	94	5; 10; 15; 20; 25; 30; 35; 40.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0095-margins-L001	95	p. 8.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0095-margins-L002	95	p. 9.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0095-margins-L003	95	5; 10; 15; 20; 25; 30; 35; 40.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0096-margins-L001	96	p. 10.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0096-margins-L002	96	5; 10; 15; 20; 25; 30; 35; 40.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0097-margins-L001	97	p. 11.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0097-margins-L002	97	p. 12.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0097-margins-L003	97	5; 10; 15; 20; 25; 30; 35; 40; 45.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0098-margins-L001	98	p. 12.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0098-margins-L002	98	p. 13.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0098-margins-L003	98	p. 14.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0098-margins-L004	98	5; 10; 15; 20; 25; 30; 35; 40.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0098-margins-L005	98	2 [signature]	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0099-margins-L001	99	p. 15.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0099-margins-L002	99	5; 10; 15; 20; 25; 30; 35; 40.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0100-margins-L001	100	p. 16.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
AB01-PDF0100-margins-L002	100	p. 17.	Preserved in marginal register; Arabic page references also printed in reader; original running line counters/signatures not repeated as body prose.
